16  96.7 101.5 111.7 121.9 126.7
17 105.0 110.2 121.2 132.3 137.4
18 113.7 119.2 131.1 143.0 148.5
19 122.6 128.6 141.2 153.9 159.9
20 131.8 138.1 151.6 165.1 171.5
21 141.1 147.8 162.2 176.5 183.2
22 150.6 157.7 172.9 188.0 195.1
23 160.1 167.7 183.6 199.6 207.1
24 169.7 177.6 194.5 211.3 219.2
25 179.3 187.6 205.3 222.9 231.2
26 188.9 197.5 216.0 234.5 243.2
27 198.3 207.4 226.7 246.0 255.0
28 207.6 217.0 237.1 257.3 266.7
29 216.7 226.5 247.4 268.4 278.2
30 225.5 235.7 257.5 279.3 289.5
31 234.0 244.6 267.2 289.8 300.4
32 242.2 253.2 276.6 300.1 311.1
33 250.0 261.4 285.6 309.9 321.3
34 257.3 269.1 294.2 319.3 331.1
35 264.2 276.4 302.3 328.2 340.4
36 270.5 283.1 309.8 336.6 349.1
37 276.3 289.2 316.8 344.3 357.3
38 281.4 294.7 323.1 351.5 364.8
39 285.8 299.5 328.7 358.0 371.7
40 289.5 303.6 333.7 363.7 377.8
