16 112.4 117.4 128.0 138.6 143.6
17 122.3 127.5 138.6 149.6 154.9
18 132.4 137.8 149.4 160.9 166.3
19 142.8 148.4 160.4 172.3 177.9
20 153.2 159.0 171.4 183.9 189.7
21 163.7 169.7 182.6 195.4 201.5
22 174.2 180.4 193.7 207.0 213.3
23 184.6 191.1 204.8 218.5 225.0
24 194.9 201.5 215.7 229.9 236.5
25 204.9 211.8 226.4 241.0 247.9
26 214.7 221.8 236.9 251.9 259.0
27 224.2 231.5 247.0 262.5 269.7
28 233.2 240.7 256.7 272.6 280.1
29 241.8 249.5 265.9 282.3 290.0
30 249.9 257.8 274.6 291.4 299.3
31 257.4 265.5 282.7 300.0 308.1
32 264.2 272.5 290.2 307.9 316.2
33 270.3 278.8 297.0 315.1 323.6
34 275.6 284.3 302.9 321.5 330.2
35 280.1 289.0 308.0 327.1 336.0
36 283.6 292.8 312.2 331.7 340.9
37 286.2 295.5 315.5 335.4 344.7
38 287.7 297.3 317.7 338.0 347.6
39 288.2 297.9 318.7 339.5 349.3
40 287.4 297.4 318.6 339.9 349.9
