16 31.8 33.3 36.5 39.7 41.3
17 34.3 35.8 39.2 42.5 44.0
18 36.9 38.5 41.9 45.3 46.9
19 39.7 41.3 44.8 48.3 49.9
20 42.6 44.2 47.8 51.3 53.0
21 45.5 47.2 50.8 54.5 56.2
22 48.5 50.2 53.9 57.7 59.4
23 51.5 53.3 57.1 60.9 62.7
24 54.5 56.3 60.2 64.1 65.9
25 57.5 59.4 63.3 67.3 69.1
26 60.5 62.4 66.4 70.4 72.3
27 63.4 65.3 69.4 73.5 75.5
28 66.2 68.2 72.4 76.6 78.5
29 68.9 70.9 75.2 79.5 81.5
30 71.5 73.5 77.9 82.2 84.3
31 73.9 76.0 80.4 84.9 87.0
32 76.1 78.3 82.8 87.3 89.5
33 78.2 80.4 85.0 89.6 91.7
34 80.0 82.2 86.9 91.6 93.8
35 81.6 83.9 88.7 93.4 95.7
36 83.0 85.3 90.1 95.0 97.3
37 84.0 86.4 91.3 96.2 98.5
38 84.8 87.2 92.2 97.2 99.5
39 85.2 87.6 92.7 97.8 100.2
40 85.3 87.7 92.9 98.1 100.5
