11 12.08 13.12 15.36 17.60 18.63 
12 15.81 16.96 19.40 21.81 22.92 
13 19.47 20.71 23.30 25.92 27.12 
14 23.05 24.36 27.14 29.92 31.23 
15 26.56 27.93 30.89 33.82 35.23 
16 29.97 31.41 34.53 37.62 39.08 
17 33.32 34.85 38.12 41.35 42.87 
18 36.55 38.15 41.58 44.97 46.56 
19 39.76 41.46 45.00 48.52 50.18 
20 42.85 44.56 48.22 51.90 53.64 
21 45.86 47.66 51.43 55.23 57.00 
22 48.79 50.61 54.53 58.44 60.30 
23 51.63 53.48 57.51 61.54 63.45 
24 54.38 56.31 60.42 64.57 66.50 
25 57.04 59.00 63.25 67.48 69.42 
26 59.62 61.64 65.94 70.24 72.27 
27 62.12 64.15 68.55 72.92 75.00 
28 64.50 66.61 71.03 75.52 77.60 
29 66.84 68.98 73.50 77.97 80.09 
30 69.07 71.21 75.80 80.37 82.52 
31 71.22 73.39 78.00 82.63 84.80 
32 73.30 75.49 80.16 84.80 87.00 
33 75.24 77.46 82.14 86.84 89.04 
34 77.14 79.36 84.07 88.80 91.00 
35 78.94 81.14 85.90 90.61 92.83 
36 80.64 82.88 87.61 92.35 94.56 
37 82.27 84.50 89.24 93.97 96.19 
38 83.78 86.00 90.70 95.42 97.66 
39 85.22 87.43 92.10 96.86 99.05 
40 86.57 88.78 93.45 98.13 100.31 
41 87.00 89.00 94.00 99.00 101.00 
