16 17.1 18.4 21.0 23.6 24.9
17 19.9 21.2 23.9 26.6 27.9
18 22.7 24.0 26.8 29.6 30.9
19 25.5 26.8 29.7 32.5 33.9
20 28.2 29.5 32.5 35.4 36.8
21 30.8 32.2 35.3 38.3 39.7
22 33.4 34.9 38.0 41.1 42.5
23 36.0 37.5 40.7 43.8 45.3
24 38.5 40.0 43.3 46.5 48.1
25 41.0 42.5 45.8 49.2 50.7
26 43.3 44.9 48.4 51.8 53.4
27 45.7 47.3 50.8 54.3 55.9
28 47.9 49.6 53.2 56.7 58.4
29 50.1 51.8 55.5 59.1 60.8
30 52.2 54.0 57.7 61.4 63.2
31 54.3 56.1 59.9 63.7 65.4
32 56.2 58.0 61.9 65.8 67.6
33 58.1 59.9 63.9 67.9 69.7
34 59.9 61.8 65.8 69.8 71.7
35 61.6 63.5 67.6 71.7 73.6
36 63.1 65.1 69.3 73.5 75.5
37 64.6 66.6 70.9 75.2 77.2
38 66.0 68.1 72.4 76.8 78.8
39 67.3 69.4 73.8 78.2 80.3
40 68.5 70.6 75.1 79.6 81.7
