15 80.70 85.30 95.00 104.40 108.80 
16 91.30 96.10 106.40 116.80 121.60 
17 101.70 106.80 118.00 129.00 134.00 
18 111.80 117.40 129.20 141.00 146.60 
19 122.00 128.00 140.40 153.00 158.80 
20 132.00 138.00 151.40 164.70 171.00 
21 141.60 148.20 162.30 176.30 183.00 
22 151.40 158.20 173.00 187.80 194.70 
23 160.90 168.20 183.60 199.00 206.30 
24 170.20 177.80 194.00 210.30 218.00 
25 179.30 187.30 204.40 221.30 229.30 
26 188.40 196.70 214.50 232.30 240.60 
27 197.30 206.00 224.50 243.00 251.60 
28 206.20 215.10 234.40 253.60 262.60 
29 214.70 224.00 244.00 264.00 273.30 
30 223.20 232.80 253.60 274.20 283.70 
31 231.60 241.60 263.00 284.20 294.40 
32 239.70 250.00 272.20 294.30 304.60 
33 247.80 258.40 281.20 304.00 314.80 
34 255.60 266.70 290.20 313.80 324.80 
35 263.20 274.70 298.80 323.30 334.50 
36 271.00 282.60 307.40 332.50 344.30 
37 278.30 290.30 316.00 341.70 353.80 
38 285.60 298.00 324.70 350.70 363.00 
39 292.70 305.30 332.40 359.60 372.20 
40 298.00 311.00 339.00 367.00 380.00 
