12 2.76 3.89 6.33 8.79 10.00 
13 6.09 7.29 9.88 12.42 13.65 
14 9.40 10.65 13.33 16.00 17.27 
15 12.56 13.87 16.66 19.44 20.77 
16 15.70 17.00 19.95 22.80 24.18 
17 18.74 20.12 23.12 26.13 27.53 
18 21.69 23.14 26.23 29.30 30.80 
19 24.59 26.06 29.25 32.44 33.91 
20 27.42 28.94 32.23 35.48 37.03 
21 30.12 31.72 35.05 38.41 40.00 
22 32.83 34.39 37.87 41.30 42.91 
23 35.34 37.00 40.50 44.03 45.71 
24 37.89 39.58 43.16 46.75 48.42 
25 40.33 42.04 45.69 49.36 51.08 
26 42.66 44.40 48.17 51.88 53.62 
27 44.95 46.72 50.53 54.32 56.09 
28 47.13 48.94 52.80 56.64 58.45 
29 49.22 51.06 54.94 58.91 60.72 
30 51.30 53.14 57.13 61.08 62.92 
31 53.26 55.13 59.15 63.14 65.04 
32 55.12 57.04 61.11 65.19 67.07 
33 56.96 58.87 63.00 67.10 69.03 
34 58.69 60.62 64.76 68.88 70.84 
35 60.33 62.29 66.47 70.65 72.63 
36 61.90 63.89 68.13 72.34 74.30 
37 63.40 65.36 69.63 73.91 75.89 
38 64.81 66.79 71.11 75.38 77.41 
39 66.16 68.19 72.48 76.81 78.84 
40 67.42 69.47 73.79 78.14 80.17 
41 68.00 70.00 74.00 79.00 81.00 
